series,date,nearest_crisis,days_to_crisis_peak
reserve_ratio_weekly,1878-03-06,1866,4317
reserve_ratio_weekly,1878-05-15,1866,4387
reserve_ratio_weekly,1878-06-19,1866,4422
reserve_ratio_weekly,1878-07-24,1866,4457
reserve_ratio_weekly,1878-08-28,1890,4462
reserve_ratio_weekly,1878-10-02,1890,4427
reserve_ratio_weekly,1878-11-06,1890,4392
reserve_ratio_weekly,1878-12-11,1890,4357
reserve_ratio_weekly,1879-01-15,1890,4322
reserve_ratio_weekly,1879-02-19,1890,4287
reserve_ratio_weekly,1879-04-30,1890,4217
reserve_ratio_weekly,1879-06-04,1890,4182
reserve_ratio_weekly,1879-08-13,1890,4112
reserve_ratio_weekly,1879-09-17,1890,4077
reserve_ratio_weekly,1879-10-22,1890,4042
reserve_ratio_weekly,1879-11-26,1890,4007
reserve_ratio_weekly,1880-02-04,1890,3937
reserve_ratio_weekly,1880-03-10,1890,3902
reserve_ratio_weekly,1880-04-14,1890,3867
reserve_ratio_weekly,1880-05-19,1890,3832
reserve_ratio_weekly,1880-06-23,1890,3797
reserve_ratio_weekly,1880-07-28,1890,3762
reserve_ratio_weekly,1880-09-01,1890,3727
reserve_ratio_weekly,1880-10-06,1890,3692
reserve_ratio_weekly,1880-11-10,1890,3657
reserve_ratio_weekly,1880-12-15,1890,3622
reserve_ratio_weekly,1881-01-19,1890,3587
reserve_ratio_weekly,1881-02-23,1890,3552
reserve_ratio_weekly,1881-05-04,1890,3482
reserve_ratio_weekly,1881-06-08,1890,3447
reserve_ratio_weekly,1881-07-13,1890,3412
reserve_ratio_weekly,1881-08-17,1890,3377
reserve_ratio_weekly,1881-09-21,1890,3342
reserve_ratio_weekly,1881-10-26,1890,3307
reserve_ratio_weekly,1881-11-30,1890,3272
reserve_ratio_weekly,1882-01-04,1890,3237
reserve_ratio_weekly,1882-02-08,1890,3202
reserve_ratio_weekly,1882-03-15,1890,3167
reserve_ratio_weekly,1882-04-19,1890,3132
reserve_ratio_weekly,1882-06-28,1890,3062
reserve_ratio_weekly,1882-09-06,1890,2992
reserve_ratio_weekly,1882-10-11,1890,2957
reserve_ratio_weekly,1882-11-15,1890,2922
reserve_ratio_weekly,1882-12-20,1890,2887
reserve_ratio_weekly,1883-01-24,1890,2852
reserve_ratio_weekly,1883-02-28,1890,2817
reserve_ratio_weekly,1883-04-04,1890,2782
reserve_ratio_weekly,1883-06-13,1890,2712
reserve_ratio_weekly,1883-07-18,1890,2677
reserve_ratio_weekly,1883-08-22,1890,2642
reserve_ratio_weekly,1883-09-26,1890,2607
reserve_ratio_weekly,1883-12-05,1890,2537
reserve_ratio_weekly,1884-01-09,1890,2502
reserve_ratio_weekly,1884-02-13,1890,2467
reserve_ratio_weekly,1884-03-19,1890,2432
reserve_ratio_weekly,1884-04-23,1890,2397
reserve_ratio_weekly,1884-05-28,1890,2362
reserve_ratio_weekly,1884-07-02,1890,2327
