counterparty_clean,actor_category,class_confidence,n_transactions,total_amount,crises
R Rodger,unknown,0.2,10,135776.82,1857
Royal Bank Of Canada,clearing_or_joint_stock_bank,0.4,2,135457.9875,1914
Andy Gibbs & Sons,merchant_bank,0.85,5,135049.26,1866
Imp. Ottoman Government,unknown,0.2,1,135000.0,1866
J C Bailey,unknown,0.2,3,135000.0,1857
Elias & Co,unknown,0.2,13,134345.085,"1857,1866"
Schunck Souchay & Co,unknown,0.2,9,133838.21,1857
Consolidated Bank Limited,clearing_or_joint_stock_bank,0.7,2,131190.30000000002,1866
Siordeh M & Co,unknown,0.2,34,131009.5025,1847
Absolom Crocker & Co,unknown,0.2,94,129663.295,"1847,1857,1866"
Heugh Balfour & Co,unknown,0.2,15,128543.66,"1857,1866"
Barclay & Co Ltd,clearing_or_joint_stock_bank,0.7,33,125872.15,1914
Conway Phelps & Co,unknown,0.2,39,125388.2425,1847
National Bank Of Australasia,foreign_or_colonial_financial,0.7,4,123339.90000000001,1866
H Sherwood Co,unknown,0.2,1,123022.19,1914
Peek Bros & Co,unknown,0.2,72,120631.1,"1847,1857"
Barclay Brothers & Co,clearing_or_joint_stock_bank,0.7,15,119994.515,1847
Louis Cohen,unknown,0.2,14,119870.26999999999,"1847,1857"
G B Carr,unknown,0.2,40,119220.7025,"1847,1857"
Haycroft & Pethick,unknown,0.2,17,118786.535,"1857,1866"
Metrop Provincial Bank Limited,clearing_or_joint_stock_bank,0.7,9,118475.70000000001,1866
Robert Benson & Co,unknown,0.2,4,115514.78,1866
Cavan Brothers & Co,unknown,0.2,6,115135.23999999999,1857
Boyds & Thomas,unknown,0.2,25,114873.875,1847
I. Leonino & Co,unknown,0.2,12,114839.96,1866
"Soanes, Son & Page",unknown,0.2,8,112536.26,1866
S.N.Schroder & Co,merchant_bank,0.85,1,111542.34999999999,1914
J Horstman,unknown,0.2,19,110768.885,1847
"Barker, Benwell & Co.",unknown,0.2,2,110000.0,1866
S.P. Framjee & Co,unknown,0.2,16,108968.97,1866
H W Schwartz,unknown,0.2,41,108931.2825,1847
Ralli Bros,unknown,0.2,4,108912.75,"1847,1914"
Ionides & Co,unknown,0.2,18,107545.8475,1847
David Evans & Co,unknown,0.2,36,107087.385,"1857,1866"
Pastre Brothers,unknown,0.2,12,106995.18,1866
Bomanjee Framjee Cama & Co,unknown,0.2,14,105923.03,1866
A Bell & Sons,unknown,0.2,33,104493.76,1857
H. W. Eaton,unknown,0.2,6,103359.62,1866
Blogg & Martin,unknown,0.2,6,102840.415,"1847,1866"
E Lindo & Co,unknown,0.2,21,102679.36,1847
F. T. Elworthy,unknown,0.2,11,102652.54000000001,1866
Rob & Harrison & Co,unknown,0.2,29,102545.3775,1847
B Simon & A Jacoby,unknown,0.2,8,101706.32,1857
G H & J F Wulff,unknown,0.2,72,101685.9675,"1847,1857"
Dinsdale Drewell & Co,unknown,0.2,2,101642.9,1857
H J Einthoven & Sons,unknown,0.2,10,101176.62,1857
Lat Discount Co Lo,unknown,0.2,3,100272.09,1857
Leaf Sons & Co,unknown,0.2,10,99803.69,"1857,1866"
Horstman & Co,unknown,0.2,8,99717.28,"1857,1866"
Lon: River Plate Bank Limited,clearing_or_joint_stock_bank,0.7,2,99646.2,1866
Bco & Del Rio De La Hala,unknown,0.2,1,99407.04999999999,1914
Konigswarter Bros,unknown,0.2,23,99203.685,1847
Robinson & Fleming,unknown,0.2,11,98829.31,1866
I. W. Cater Inman & Co,unknown,0.2,14,97718.86,1857
"Dennistoun, Cross & Co",unknown,0.2,4,97344.55,1866
Bradbury & Cook,unknown,0.2,26,97236.4,"1857,1866"
Fob Wright & Co,unknown,0.2,31,97139.79,1847
Alex Bell & Sons,unknown,0.2,20,95830.05,1866
Carr Lamb & Co,unknown,0.2,47,94810.01999999999,1847
Rougemont Bros,unknown,0.2,33,94598.465,1847
S Reuter,unknown,0.2,33,94336.34,"1847,1857"
Daniell Dickinson & Co,unknown,0.2,24,94084.64,"1847,1857"
W Cothay & Co,unknown,0.2,25,93521.73,1847
Foy Morgan & Co,merchant_bank,0.85,3,91818.26,1914
Arthur & Co,unknown,0.2,10,91624.92,1866
Walhampton & Staffordshire,unknown,0.2,1,91579.5,1857
Dadabhai Naoroji & Co,unknown,0.2,22,90862.47,1866
T & J Ralli,unknown,0.2,41,90859.81,1866
J Pickersgill & Son,unknown,0.2,18,90127.055,1847
Williams Deacon & Co On Each Of The Dudley + West Bromwich Co,clearing_or_joint_stock_bank,0.7,3,90000.0,1857
Fullers & Co,unknown,0.2,5,89330.93,1847
H.J. Enthoven & Sons,unknown,0.2,8,89306.23999999999,1866
Pearse & Child,unknown,0.2,31,87955.66249999999,1847
Duncan Fox & Co,unknown,0.2,4,87687.84999999999,1914
Forster & Smith,unknown,0.2,18,87468.7625,1847
Prior Turner & Co,unknown,0.2,49,86550.9625,"1847,1857"
Castelli G & Co,unknown,0.2,18,86102.385,1847
Ellis Everington & Co,unknown,0.2,10,85429.145,1857
National Bank Of New Zealand,clearing_or_joint_stock_bank,0.4,1,85217.84999999999,1914
Francis Ede Son & Co,unknown,0.2,20,84949.31,1857
King Melvil & Co,unknown,0.2,27,84447.78,"1847,1866"
Crawshay Bailey,unknown,0.2,4,84394.7,1866
W Brandt'S Sons & Co,unknown,0.2,12,84283.06,1866
Alex & Bell,unknown,0.2,30,83117.56999999999,1847
Jas Coster & Co,unknown,0.2,18,81913.0653,1847
C. & C. I. Coles,unknown,0.2,14,81295.2,"1857,1866"
Maclean Maris & Co,unknown,0.2,20,81144.495,1847
British Bank Of North America Ltd,clearing_or_joint_stock_bank,0.4,4,80847.84999999999,1914
J Bult Son & Co,unknown,0.2,9,80572.36499999999,1847
Stewart & Westmorland,unknown,0.2,22,80500.655,1847
Vyse & Sons,unknown,0.2,32,79594.33499999999,1847
Anglo Egyptian Bank Limited,foreign_or_colonial_financial,0.7,3,79440.3,1866
Rt Lowes & Co,unknown,0.2,2,79212.025,1857
Grant & Kemshead,unknown,0.2,24,79144.2675,1847
T. Tapling & Co,unknown,0.2,24,77301.42,1866
T J & T Powell,unknown,0.2,40,77117.4975,"1847,1857"
Peter Rolt & Co,unknown,0.2,13,76369.6,1866
F W Russell,unknown,0.2,30,76197.95999999999,1847
R Harrison & Co,unknown,0.2,20,75964.35,1847
B Figdor,unknown,0.2,39,75762.735,1847
C Devaux & Co,unknown,0.2,13,75327.825,1847
S Courtauld & Co,unknown,0.2,20,75117.825,1847
Coaeno Gurney Co,unknown,0.2,1,74914.84,1847
Gould Dowie & M,unknown,0.2,40,74818.1975,1847
Thomson Bonar & Co,unknown,0.2,8,74528.11499999999,"1847,1866"
Lon Provincial Bk,unknown,0.2,24,74464.8,1914
J Leonino & Co,unknown,0.2,10,74117.9,1857
East London Bank Limited,clearing_or_joint_stock_bank,0.7,3,73178.1,1866
Gresend & Co,unknown,0.2,1,73000.0,1857
Roger Cunliffe,unknown,0.2,8,72874.9275,1847
Thomas Walker WW,unknown,0.2,83,70114.9625,1847
Anglo Italian Bank Limited,foreign_or_colonial_financial,0.7,2,70000.0,1866
Lyall Bros & Co,unknown,0.2,11,69449.19,1847
Leonino Bros,unknown,0.2,11,69310.095,1847
C Douglas & Son,unknown,0.2,23,69032.59,1847
Robinson & Flemming,unknown,0.2,11,68694.865,1857
Morrison Dillon & Co,unknown,0.2,9,66708.90000000001,1857
Aberdare Iron Co.,industrial_or_commercial,0.6,2,66444.3,1866
Groucock C & Co,unknown,0.2,23,66182.94499999999,1847
Cockerell & Co,unknown,0.2,4,65763.23999999999,1847
D Taylor & Sons,unknown,0.2,22,65761.175,"1847,1857"
Mitchell Yeames & Co,unknown,0.2,5,65324.22,1866
Coventry & Sheppard,unknown,0.2,31,64856.352999999996,1847
Heilbut Symons & Co,unknown,0.2,1,64698.799999999996,1914
Price & Pierce Ltd,unknown,0.2,7,64340.049999999996,1914
D. D. Cama & Co,unknown,0.2,7,64075.0,1866
Banca De Espana,unknown,0.2,3,63926.44999999999,1914
Wallace Brothers,merchant_bank,0.85,6,63814.380000000005,1866
Egyptian Tubale Acct,unknown,0.2,1,63804.509999999995,1857
J. S. Morgan & Co,merchant_bank,0.85,2,63645.0,1866
Jacob Walter & Co,unknown,0.2,7,63587.457500000004,1914
Greenwood & Butler,unknown,0.2,17,63546.3575,1847
James Fowa,unknown,0.2,6,63486.145,1857
Edwards Eastty & Co,unknown,0.2,12,63226.625,"1857,1866"
Mayniae & Co,unknown,0.2,3,62874.00749999999,1847
London Bank Of Australia Ltd,clearing_or_joint_stock_bank,0.4,3,62004.6,1914
Geo Brettle & Co,unknown,0.2,15,61882.7125,1847
Brockelbank & Roth,unknown,0.2,20,61596.3525,1847
William Nash,unknown,0.2,58,61351.7275,1847
Baring & Co,merchant_bank,0.85,1,60000.0,1857
E. B. Meyes,unknown,0.2,1,60000.0,1866
Byass & Son,unknown,0.2,8,59925.44,1866
R J Bagshaw,unknown,0.2,13,59677.575,1847
Streatfeild L & Co,unknown,0.2,40,59562.0275,1847
Baring Brothers & Co,merchant_bank,0.85,1,59000.0,1857
W H Ogden,unknown,0.2,40,58935.87,1847
Chalmers G & Co,unknown,0.2,7,58670.695,1847
E H Brandts Son & Co,unknown,0.2,12,58408.08,1857
M Levin & Adler,unknown,0.2,17,58339.159999999996,1857
Geo Laurence,unknown,0.2,16,58152.085,1847
David Lloyd,unknown,0.2,39,58025.045,"1847,1857"
English Joint & Stock Bank Limited,clearing_or_joint_stock_bank,0.7,3,58000.0,1866
White & Greenwell,unknown,0.2,26,57656.0875,1847
L Phillips & Sons,unknown,0.2,40,57569.71,1847
Borneo Co Ltd,unknown,0.2,7,57205.2,1914
Bradbury G & Co,unknown,0.2,9,56988.8,1847
H D & J Blyth & Green,unknown,0.2,8,56940.365,1847
Spence B & Co,unknown,0.2,15,56897.4825,1847
J Gaury & Co,unknown,0.2,18,56067.5625,"1847,1857"
Beith Stevenson & Co,unknown,0.2,7,55956.125,1914
Zarifi Brothers & Co,unknown,0.2,5,55602.700000000004,"1857,1866"
Robinson Fleming & Co,unknown,0.2,1,55506.6,1914
Bennison Lermard,unknown,0.2,9,55207.22,1857
London County Bank For The Midland Bank,clearing_or_joint_stock_bank,0.7,1,55000.0,1866
Johnson Cole & Co,unknown,0.2,22,54973.965,1847
Bradbury Greatorex & Co,unknown,0.2,10,54910.125,1857
Gillespies M & Co,unknown,0.2,12,54797.045,1847
W M Andrew & Sons,unknown,0.2,12,54748.619999999995,1866
Smith & Simmonds,unknown,0.2,9,54405.7425,1847
Kelsalls & Co,unknown,0.2,10,54376.28,1847
Bank Of Egypt,foreign_or_colonial_financial,0.7,3,54201.600000000006,1857
Randells & Co,unknown,0.2,24,54182.97,"1847,1857"
Walker Parker & Co,unknown,0.2,9,54058.9375,1847
H. T Morgan & Co,merchant_bank,0.85,1,53894.700000000004,1866
