counterparty_clean,canonical_counterparty,match_method,similarity_score,manual_review_required,cluster_id
Charles Hemery,Charles Hemery,exact,100,False,203
Charles Hoare Co,Charles Hoare Co,exact,100,False,204
Charles Rayne,Charles Rayne,exact,100,False,205
"Chartered Bank Of India, Austrailia & China","Chartered Bank Of India, Austrailia & China",exact,100,False,206
Chartered Merchant Bank Of India Limited,Chartered Merchant Bank Of India Limited,exact,100,False,207
Chas Belier,Chas Belier,exact,100,False,208
Chas Watton & Sons,Chas Watton & Sons,exact,100,False,209
Chesnutt Cooper Co,Chesnutt Cooper Co,exact,100,False,210
Child & Co,Child & Co,exact,100,False,211
Chilian Gout,Chilian Gout,exact,100,False,212
Church Son & Stubbs,Church Son & Stubbs,exact,100,False,213
Churchill & Sim,Churchill & Sim,exact,100,False,214
Cj Hamlin & Sons,Cj Hamlin & Sons,exact,100,False,215
Cj Howell & Son,Cj Howell & Son,exact,100,False,216
Clairmonte Brothers,Clairmonte Brothers,exact,100,False,217
Clawfow Coloui & Co,Clawfow Coloui & Co,exact,100,False,218
Clement Dresser,Clement Dresser,exact,100,False,219
Clode & Baker,Clode & Baker,exact,100,False,220
Closley Vepher & Co,Closley Vepher & Co,exact,100,False,221
Clydesdale Bank Ltd,Clydesdale Bank Ltd,exact,100,False,222
Cocker Biddulph & Co,Cocker Biddulph & Co,exact,100,False,223
Colchesters & Woolner,Colchesters & Woolner,exact,100,False,224
Cole Nichols & Co,Cole Nichols & Co,exact,100,False,225
Colonial Bank,Colonial Company Limited,rapidfuzz_token_set_ratio,100,False,226
Colonial Company Limited,Colonial Company Limited,exact,100,False,226
Commercial Bank Of Scotland Ltd,Commercial Bank Of Scotland Ltd,exact,100,False,227
Commercial Banking Co. Of Of Sydney Ltd,Commercial Banking Co. Of Of Sydney Ltd,exact,100,False,228
Commonwealth Bk Of Australia,Commonwealth Bk Of Australia,exact,100,False,229
Comptoir National D'Escompte De Paris,Comptoir National D'Escompte De Paris,exact,100,False,230
Consolidated Bank Limited,Consolidated Bank Limited,exact,100,False,231
Consolidated Discount Co Limited,Consolidated Discount Co Limited,exact,100,False,232
Conway Phelps & Hayward,Conway Phelps & Hayward,exact,100,False,233
